                 0.1 0.000991944229015782     5016882.59090671
                   1  0.00991944229015782     5016882.59090671
                  10   0.0991944229015783     5016882.59090671
                 100    0.991944229015821     5016882.59090671
                1000      9.9194422901966     5016882.59090671
               10000      99.194422940357     5016882.59090671
              100000      991.94426779454      5016882.5909067
             1000000     9919.48106891538     5016882.59083003
            10000000     99233.2016532018     5016881.82386857
            20000000     198699.075103783     5016870.30390876
            30000000     298630.282151528     5016820.26658484
            40000000     399259.434380567     5016685.07816654
            50000000     500818.991659855     5016398.69632917
            60000000     603541.066621537     5015874.91579958
            70000000     707657.099862546     5015006.40036911
            80000000     813397.367280086     5013663.50418727
            90000000     920990.276825663     5011692.88764249
           100000000     1030661.40710203     5008915.93669455
           110000000     1142632.23473195     5005126.99956789
           120000000     1257118.49145903     5000091.46161185
           130000000     1374328.08574842     4993543.68829776
           140000000     1494458.51760968      4985184.8782137
           150000000     1617693.70999432     4974680.88302316
           160000000     1744200.17616033     4961660.07016605
           170000000      1874122.4408343     4945711.32704808
           180000000     2007577.63513282     4926382.33292682
           190000000     2144649.19267722     4903178.25678538
           200000000     2285379.58918128     4875561.07596447
           210000000     2429762.09242669     4842949.75044261
           220000000     2577731.52670939     4804721.52988932
           230000000     2729154.10847639     4760214.71241103
           240000000     2883816.48083987     4708733.21137618
           250000000      3041414.1663219     4649553.31434839
           260000000     3201539.77080503     4581933.02866263
           270000000     3363671.40654033     4505124.39239714
           280000000     3527161.95449443     4418389.07669873
           290000000     3691229.94842401     4321017.50405554
           300000000     3854953.02165773     4212351.54614987
           310000000     4017264.99331994     4091810.63597043
           320000000     4176957.75810612     3958920.82902844
           330000000     4332689.15209834     3813345.98385697
           340000000     4482997.86367461     3654919.82099832
           350000000     4626326.21325754     3483677.19615137
           360000000     4761051.21812558     3299882.53688967
           370000000     4885523.78643308     3104053.10688534
           380000000     4998115.17163319      2896974.6473877
           390000000     5097269.01984284     2679707.06898929
           400000000      5181556.5451801     2453578.27440646
           410000000     5249731.68289609     2220164.89696395
           420000000     5300782.61692628     1981259.70381521
           430000000     5333975.96306163     1738826.54925346
           440000000     5348890.17823783     1494944.93767386
           450000000     5345435.46783011     1251747.30744107
           460000000     5323858.51417152     1011352.91854556
           470000000     5284731.62454469     775802.596088947
           480000000     5228927.22645114     546998.487957333
           490000000     5157579.84218308     326652.453943605
           500000000     5072038.59817452     116245.802734145
           510000000     4973813.86493913    -82998.0272499146
           520000000     4864521.74649148    -270127.424605227
           530000000     4745829.87709472    -444463.862239185
           540000000     4619407.42330773     -605591.98621659
           550000000     4486881.44493065    -753340.654270749
           560000000     4349800.95825147    -887757.332512557
           570000000     4209609.27185444    -1009078.28028872
           580000000     4067624.50378298    -1117696.76210569
           590000000     3925027.68127309    -1214131.19158506
           600000000     3782857.48301841    -1298994.70436634
           610000000      3642010.4984432    -1372967.23331987
           620000000     3503245.82357931    -1436770.76386022
           630000000     3367192.85697442    -1491148.10699379
           640000000     3234361.26918902    -1536845.25613488
           650000000     3105152.26703966    -1574597.19273389
           660000000     2979870.43570078     -1605116.8699025
           670000000     2858735.60127438    -1629087.02274761
           680000000     2741894.30252777    -1647154.41758881
           690000000     2629430.58711929    -1659926.14828791
           700000000     2521375.95241067    -1667967.60640856
           710000000     2417718.33409681    -1671801.78442227
           720000000     2318410.10915459    -1671909.61111338
           730000000     2223375.12564825    -1668731.06089007
           740000000     2132514.80365716    -1662666.82056081
           750000000     2045713.37189136    -1654080.33617944
           760000000     1962842.31604875    -1643300.09761237
           770000000     1883764.11990567    -1630622.04901975
           780000000     1808335.38038828    -1616312.03940694
           790000000      1736409.3749388    -1600608.24901894
           800000000     1667838.15452452    -1583723.54501329
           810000000     1602474.22950601    -1565847.73402839
           820000000     1540171.90891594    -1547149.69045749
           830000000     1480788.34694509    -1527779.34792074
           840000000     1424184.34388408     -1507869.5480351
           850000000     1370224.94261716    -1487537.74550361
           860000000     1318779.85611479    -1466887.57211639
           870000000     1269723.75627408    -1446010.26475923
           880000000     1222936.44992092    -1424985.96419809
           890000000      1178302.9637981    -1403884.89244159
           900000000     1135713.55688778    -1382768.41703522
           910000000     1095063.67541101    -1361690.01083494
           920000000      1056253.8632675      -1340696.115743
           930000000     1019189.63847661    -1319826.91864051
           940000000     983781.344311444    -1299117.04738131
           950000000     949943.982238836    -1278596.19426202
           960000000     917597.032449363    -1258289.67389093
           970000000      886664.26664911    -1238218.92186568
           980000000     857073.556856267    -1218401.94015723
           990000000     828756.683174042     -1198853.6945959
          1000000000     801649.142872496    -1179586.46937512
          1010000000      775689.96258505    -1160610.18303353
          1020000000     750821.514992784    -1141932.66995115
          1030000000     726989.341015975    -1123559.93100097
          1040000000     704141.978244632    -1105496.35663414
          1050000000      682230.79610704    -1087744.92534482
          1060000000     661209.838088288    -1070307.38015778
          1070000000     641035.671161496    -1053184.38550676
          1080000000     621667.242476468    -1036375.66662359
          1090000000     603065.743258229    -1019880.13333302
          1100000000     585194.479796701    -1003695.98994705
          1110000000     568018.751354876    -987820.832770771
          1120000000      551505.73478295    -972251.736569471
          1130000000     535624.375597406    -956985.331200876
          1140000000     520345.285264694    -942017.869486406
          1150000000     505640.644417229    -927345.287278784
          1160000000     491484.111723286     -912963.25657946
          1170000000     477850.738130888    -898867.232466579
          1180000000     464716.886207872    -885052.494511486
          1190000000     452060.154305143    -871514.183288025
          1200000000      439859.30527711    -858247.332513166
          1210000000     428094.199501711     -845246.89729892
          1220000000     416745.731952021    -832507.778943322
          1230000000     405795.773081719    -820024.846641808
          1240000000       395227.1132974    -807792.956458858
          1250000000     385023.410801659    -795806.967862955
          1260000000     375169.142601885    -784061.758094992
          1270000000     365649.558490534    -772552.234611041
          1280000000     356450.637813356    -761273.345814283
          1290000000     347559.048852423    -750220.090267666
          1300000000     338962.110660836    -739387.524558159
          1310000000     330647.757195656    -728770.769964985
          1320000000     322604.503604833    -718365.018067763
          1330000000     314821.414532714    -708165.535415825
          1340000000     307288.074317111    -698167.667366853
          1350000000     299994.558958801    -688366.841191322
          1360000000      292931.40975189    -678758.568528816
          1370000000     286089.608470516    -669338.447272966
          1380000000     279460.554014057    -660102.162953467
          1390000000     273036.040419293    -651045.489676228
          1400000000     266808.236153854    -642164.290676066
          1410000000     260769.664610832    -633454.518530476
          1420000000     254913.185729625    -624912.215077688
          1430000000     249231.978672924    -616533.511077541
          1440000000      243719.52549433    -608314.625649463
          1450000000     238369.595735322    -600251.865518086
          1460000000     233176.231894284    -592341.624093663
          1470000000     228133.735714026    -584580.380411425
          1480000000     223236.655237693    -576964.697951347
          1490000000     218479.772586205    -569491.223357369
          1500000000     213858.092413428     -562156.68507297
          1510000000     209366.830998048    -554957.891908076
          1520000000     205001.405933832    -547891.731550556
          1530000000      200757.42638235    -540955.169034026
          1540000000     196630.683854606    -534145.245172307
          1550000000     192617.143490114    -527459.074969648
          1560000000     188712.935803982    -520893.846014748
          1570000000     184914.348874456    -514446.816865593
          1580000000     181217.820945075    -508115.315431295
          1590000000      177619.93341727    -501896.737356293
          1600000000      174117.40421072    -495788.544411621
          1610000000     170707.081470217    -489788.262897274
          1620000000     167385.937599116    -483893.482059207
          1630000000      164151.06360069    -478101.852523956
          1640000000     160999.663709846    -472411.084753459
          1650000000      157929.05029877    -466818.947522252
          1660000000     154936.639041043    -461323.266418867
          1670000000     152019.944319755    -455921.922372952
          1680000000     149176.574865991    -450612.850209353
          1690000000     146404.229614897    -445394.037230164
          1700000000      143700.69376733     -440263.52182552
          1710000000     141063.835045778     -435219.39211373
          1720000000     138491.600133942    -430259.784611183
          1730000000     135982.011289997    -425382.882932284
          1740000000     133533.163124126    -420586.916519595
          1750000000     131143.219531501    -415870.159404184
          1760000000     128810.410772378    -411230.928996141
          1770000000      126533.03069148    -406667.584905093
          1780000000     124309.434069285    -402178.527790492
          1790000000     122138.034098267    -397762.198241395
          1800000000     120017.299977543    -393417.075685362
          1810000000     117945.754619745    -389141.677326113
          1820000000     115921.972464294    -384934.557109463
          1830000000     113944.577391597    -380794.304717111
          1840000000     112012.240732959    -376719.544587751
          1850000000      110123.67937135       -372708.934965
          1860000000     108277.653928387    -368761.166971599
          1870000000     106472.967033182    -364874.963709345
          1880000000     104708.461668942    -361049.079384174
          1890000000     102983.019593418    -357282.298455833
          1900000000     101295.559829542    -353573.434811574
          1910000000     99645.0372227616    -349921.330963269
          1920000000     98030.4410617958    -346324.857267397
          1930000000     96450.7937596992      -342782.9111673
          1940000000     94905.1495922925    -339294.416457159
          1950000000     93392.5934911768    -335858.322567099
          1960000000     91912.2398886966    -332473.603868883
          1970000000      90463.231612355    -329139.259001625
          1980000000     89044.7388263188    -325854.310216977
          1990000000     87655.9580177737    -322617.802743262
          2000000000     86296.1110260069     -319428.80416801
          2010000000     84964.4441122071    -316286.403838389
          2020000000     83660.2270680726    -313189.712279014
          2030000000     82382.7523614202    -310137.860626639
          2040000000     81131.3343170777     -307130.00008125
          2050000000     79905.3083314325    -304165.301373072
          2060000000     78704.0301190896     -301242.95424503
          2070000000     77526.8749901723     -298362.16695021
          2080000000     76373.2371568721    -295522.165763884
          2090000000     75242.5290679238    -292722.194509644
          2100000000     74134.1807697484    -289961.514099259
          2110000000     73047.6392930686    -287239.402085818
          2120000000     71982.3680638601    -284555.152229769
          2130000000     70937.8463375605    -281908.074077472
          2140000000     69913.5686555061    -279297.492551887
          2150000000     68909.0443226203    -276722.747555026
          2160000000     67923.7969054245    -274183.193581818
          2170000000     66957.3637494852    -271678.199345038
          2180000000     66009.2955154564     -269207.14741098
          2190000000     65079.1557329133    -266769.433845516
          2200000000     64166.5203712155    -264364.467870264
          2210000000       63270.97742667    -261991.671528529
          2220000000     62392.1265253026    -259650.479360738
          2230000000     61529.5785405751    -257340.338089066
          2240000000     60682.9552254198    -255060.706310988
          2250000000     59851.8888579898    -252811.054201475
          2260000000     59036.0219005533    -250590.863223581
          2270000000     58235.0066709843    -248399.625847155
          2280000000     57448.5050263301    -246236.845275442
          2290000000     56676.1880579571    -244102.035179324
          2300000000     55917.7357977999    -241994.719438986
          2310000000     55172.8369352618    -239914.431892757
          2320000000     54441.1885443331    -237860.716092937
          2330000000     53722.4958205133    -235833.125068373
          2340000000     53016.4718271436    -233831.221093604
          2350000000     52322.8372507718    -231854.575464357
          2360000000     51641.3201651888    -229902.768279219
          2370000000     50971.6558037922    -227975.388227285
          2380000000     50313.5863399489     -226072.03238162
          2390000000     49666.8606750386    -224192.305998338
          2400000000     49031.2342338808    -222335.822321156
          2410000000     48406.4687672527    -220502.202391237
          2420000000     47792.3321612269     -218691.07486218
          2430000000     47188.5982530605    -216902.075819994
          2440000000     46595.0466533866    -215134.848607913
          2450000000     46011.4625744632    -213389.043655912
          2460000000     45437.6366642513    -211664.318314773
          2470000000     44873.3648460973    -209960.336694581
          2480000000     44318.4481638087    -208276.769507505
          2490000000     43772.6926319203     -206613.29391476
          2500000000     43235.9090909543    -204969.593377595
          2510000000     42707.9130674881    -203345.357512223
          2520000000     42188.5246388511    -201740.281948555
          2530000000     41677.5683022778    -200154.068192637
          2540000000     41174.8728483537    -198586.423492677
          2550000000     40680.2712385943    -197037.060708569
          2560000000      40193.600487007    -195505.698184794
          2570000000     39714.7015454911    -193992.059626619
          2580000000     39243.4191929337    -192495.873979492
          2590000000     38779.6019278707    -191016.875311536
          2600000000     38323.1018645828    -189554.802699061
          2610000000     37873.7746325029    -188109.400115006
          2620000000     37431.4792788169    -186680.416320223
          2630000000     36996.0781741451    -185267.604757526
          2640000000      36567.436921192    -183870.723448433
          2650000000     36145.4242662634    -182489.534892506
          2660000000     35729.9120135464    -181123.805969236
          2670000000     35320.7749420577    -179773.307842394
          2680000000     34917.8907251658     -178437.81586677
          2690000000     34521.1398525977     -177117.10949725
          2700000000     34130.4055548452     -175810.97220015
          2710000000     33745.5737298851    -174519.191366753
          2720000000     33366.5328721378    -173241.558228989
          2730000000      32993.174003583     -171977.86777719
          2740000000     32625.3906069634    -170727.918679869
          2750000000     32263.0785610017    -169491.513205472
          2760000000     31906.1360775648    -168268.457146035
          2770000000     31554.4636407093    -167058.559742706
          2780000000     31207.9639475441    -165861.633613079
          2790000000     30866.5418508501     -164677.49468028
          2800000000     30530.1043033983     -163505.96210378
          2810000000     30198.5603039095    -162346.858211857
          2820000000     29871.8208446019    -161200.008435695
          2830000000     29549.7988602726     -160065.24124505
          2840000000     29232.4091788653    -158942.388085457
          2850000000      28919.568473473    -157831.283316927
          2860000000     28611.1952157297      -156731.7641541
          2870000000      28307.209630547    -155643.670607814
          2880000000     28007.5336521502    -154566.845428051
          2890000000     27712.0908813738    -153501.134048223
          2900000000     27420.8065441742    -152446.384530766
          2910000000     27133.6074513219       -151402.447514
          2920000000      26850.421959235    -150369.176160237
          2930000000     26571.1799319179    -149346.426105082
          2940000000     26295.8127039698    -148334.055407917
          2950000000     26024.2530446295    -147331.924503526
          2960000000      25756.435122824    -146339.896154829
          2970000000     25492.2944731893    -145357.835406706
          2980000000      25231.767963033    -144385.609540879
          2990000000     24974.7937602091    -143423.088031814
          3000000000     24721.3113018771    -142470.142503638
          3010000000     24471.2612641183    -141526.646688022
          3020000000     24224.5855323823    -140592.476383028
          3030000000      23981.227172738     -139667.50941287
          3040000000     23741.1304039056    -138751.625588592
          3050000000     23504.2405700445    -137844.706669618
          3060000000     23270.5041142753    -136946.636326168
          3070000000      23039.868552913    -136057.300102509
          3080000000     22812.2824503891    -135176.585381019
          3090000000     22587.6953948445    -134304.381347052
          3100000000     22366.0579743696    -133440.578954574
          3110000000     22147.3217538757    -132585.070892563
          3120000000     21931.4392525759    -131737.751552137
          3130000000     21718.3639220598    -130898.516994411
          3140000000     21508.0501249428    -130067.264919048
          3150000000     21300.4531140738    -129243.894633501
          3160000000     21095.5290122853    -128428.307022917
          3170000000     20893.2347926685    -127620.404520696
          3180000000       20693.52825936    -126820.091079682
          3190000000     20496.3680288237    -126027.272143978
          3200000000     20301.7135116145    -125241.854621363
          3210000000     20109.5248946095    -124463.746856297
          3220000000     19919.7631236925    -123692.858603509
          3230000000     19732.3898868808    -122929.101002138
          3240000000     19547.3675978792    -122172.386550426
          3250000000     19364.6593800508     -121422.62908095
          3260000000      19184.229050792    -120679.743736371
          3270000000     19006.0411063005    -119943.646945696
          3280000000     18830.0607067243    -119214.256401034
          3290000000      18656.253661683    -118491.491034844
          3300000000     18484.5864161489    -117775.270997654
          3310000000     18315.0260366781    -117065.517636241
          3320000000     18147.5401979839    -116362.153472267
          3330000000     17982.0971698398    -115665.102181357
          3340000000     17818.6658043055    -114974.288572606
          3350000000     17657.2155232658    -114289.638568506
          3360000000     17497.7163062742    -113611.079185291
          3370000000     17340.1386786926    -112938.538513679
          3380000000     17184.4537001185    -112271.945700003
          3390000000     17030.6329530937    -111611.230927737
          3400000000     16878.6485320843    -110956.325399383
          3410000000     16728.4730327264    -110307.161318737
          3420000000       16580.07954133    -109663.671873503
          3430000000     16433.4416246336    -109025.791218259
          3440000000     16288.5333198034    -108393.454457772
          3450000000     16145.3291246698    -107766.597630633
          3460000000     16003.8039881962    -107145.157693232
          3470000000     15863.9333011717    -106529.072504042
          3480000000     15725.6928871246    -105918.280808223
          3490000000      15589.058993448     -105312.72222252
          3500000000     15454.0082827341     -104712.33722047
          3510000000     15320.5178243103    -104117.067117895
          3520000000     15188.5650859731    -103526.854058676
          3530000000     15058.1279259125    -102941.641000814
          3540000000     14929.1845848251    -102361.371702758
          3550000000     14801.7136782076    -101785.990709994
          3560000000     14675.6941888285     -101215.44334191
          3570000000     14551.1054593722    -100649.675678894
          3580000000     14427.9271852516    -100088.634549703
          3590000000     14306.1394075842    -99532.2675190566
          3600000000     14185.7225063283    -98980.5228754823
          3610000000     14066.6571935748    -98433.3496193864
          3620000000     13948.9245069905    -97890.6974513554
          3630000000     13832.5058034093    -97352.5167606797
          3640000000     13717.3827525678    -96818.7586140963
          3650000000     13603.5373309806    -96289.3747447436
          3660000000     13490.9518159534    -95764.3175413262
          3670000000     13379.6087797287    -95243.5400374836
          3680000000     13269.4910837625    -94726.9959013588
          3690000000     13160.5818731268    -94214.6394253629
          3700000000     13052.8645710369    -93706.4255161307
          3710000000     12946.3228734987    -93202.3096846649
          3720000000     12840.9407440736    -92702.2480366622
          3730000000     12736.7024087585    -92206.1972630207
          3740000000     12633.5923509772    -91714.1146305215
          3750000000     12531.5953066818    -91225.9579726841
          3760000000     12430.6962595597    -90741.6856807891
          3770000000     12330.8804363448     -90261.256695066
          3780000000     12232.1333022303    -89784.6304960433
          3790000000     12134.4405563801    -89311.7670960563
          3800000000     12037.7881275369    -88842.6270309097
          3810000000     11942.1621697239     -88377.171351692
          3820000000     11847.5490580397    -87915.3616167385
          3830000000     11753.9353845411      -87457.15988374
          3840000000     11661.3079542149    -87002.5287019935
          3850000000     11569.6537810345    -86551.4311047931
          3860000000     11478.9600840999    -86103.8306019569
          3870000000     11389.2142838595    -85659.6911724885
          3880000000     11300.4039984107    -85218.9772573695
          3890000000     11212.5170398791    -84781.6537524802
          3900000000     11125.5414108723    -84347.6860016466
          3910000000     11039.4653010088    -83917.0397898108
          3920000000     10954.2770835184    -83489.6813363221
          3930000000     10869.9653119136    -83065.5772883466
          3940000000     10786.5187167299    -82644.6947143929
          3950000000     10703.9262023329    -82227.0010979519
          3960000000     10622.1768437919    -81812.4643312474
          3970000000     10541.2598838173    -81401.0527090965
          3980000000     10461.1647297609    -80992.7349228773
          3990000000     10381.8809506772    -80587.4800546005
          4000000000     10303.3982744454    -80185.2575710854
          4010000000     10225.7065849487    -79786.0373182355
          4020000000     10148.7959193119    -79389.7895154137
          4030000000     10072.6564651945     -78996.484749914
          4040000000     9997.27855813794    -78606.0939715288
          4050000000     9922.65267896712    -78218.5884872087
          4060000000     9848.76945124333    -77833.9399558142
          4070000000     9775.61963876856    -77452.1203829566
          4080000000     9703.19414313946    -77073.1021159274
          4090000000     9631.48400135018    -76696.8578387125
          4100000000     9560.48038344273    -76323.3605670926
          4110000000     9490.17459020399    -75952.5836438254
          4120000000     9420.55805090814     -75584.500733909
          4130000000     9351.62232110376    -75219.0858199252
          4140000000     9283.35908044432    -74856.3131974619
          4150000000     9215.76013056134    -74496.1574706101
          4160000000     9148.81739297913    -74138.5935475383
          4170000000     9082.52290707028    -73783.5966361395
          4180000000     9016.86882805089    -73431.1422397504
          4190000000      8951.8474250149    -73081.2061529427
          4200000000     8887.45107900635    -72733.7644573831
          4210000000     8823.67228112903     -72388.793517762
          4220000000     8760.50363069254    -72046.2699777895
          4230000000       8697.937833394    -71706.1707562567
          4240000000     8635.96769953473    -71368.4730431623
          4250000000     8574.58614227097    -71033.1542959018
          4260000000     8513.78617589811    -70700.1922355199
          4270000000     8453.56091416752    -70369.5648430227
          4280000000     8393.90356863547    -70041.2503557509
          4290000000     8334.80744704327    -69715.2272638116
          4300000000      8276.2659517281    -69391.4743065671
          4310000000     8218.27257806379    -69069.9704691814
          4320000000     8160.82091293103    -68750.6949792214
          4330000000      8103.9046332162    -68433.6273033138
